Дата,Показы,Клики
2023-05-12,30429,72
2023-05-13,11970,41
2023-05-14,11717,37
2023-05-15,9718,36
2023-05-16,1835,4
2023-05-17,12,0
2023-05-18,65,1
2023-05-24,7689,40
2023-05-25,7183,33
2023-05-26,2356,17
2023-05-27,2697,17
2023-05-28,2914,10
2023-05-29,5477,35
2023-05-30,1676,16
2023-05-31,1581,26
2023-06-01,2512,25
2023-06-02,1830,8
2023-06-03,524,19
2023-06-04,110,4
2023-06-05,15105,78
2023-06-06,5453,61
2023-06-07,15837,119
2023-06-08,7738,59
2023-06-09,13806,100
2023-06-10,7148,61
2023-06-11,8246,63
2023-06-12,13833,110
