Регион таргетинга,Показы,Клики
Республика Башкортостан (более точно регион не определён),7031,60
Пермский край (более точно регион не определён),4182,47
Республика Татарстан (более точно регион не определён),6879,39
Удмуртская Республика (более точно регион не определён),3378,31
Нижний Новгород,4673,30
Нижегородская область (более точно регион не определён),4405,29
Кировская область (более точно регион не определён),3237,28
Оренбургская область (более точно регион не определён),4331,21
Тамбовская область (более точно регион не определён),3066,21
Саратовская область (более точно регион не определён),3766,21
Москва (более точно регион не определён),3450,20
Самарская область (более точно регион не определён),3326,20
Чувашская Республика (более точно регион не определён),3816,19
Воронежская область (более точно регион не определён),3899,17
Рязанская область (более точно регион не определён),2402,17
Архангельская область (более точно регион не определён),1943,16
Чебоксары,1711,16
Вологодская область (более точно регион не определён),2707,16
Брянская область (более точно регион не определён),2962,15
Уфа,2250,15
